id,topology,n,phi,S,holds_phi_le_S,phi_nonzero
0,disconnected,3,0.000000,-0.000000,True,False
1,chain,3,0.000000,0.077802,True,False
2,ring,3,0.000000,0.154784,True,False
3,star,3,0.000000,0.084956,True,False
4,fully_connected,3,0.000000,0.423418,True,False
5,random,3,0.000000,0.139617,True,False
6,disconnected,3,0.000000,-0.000000,True,False
7,chain,3,0.000000,0.018481,True,False
8,ring,3,0.000000,0.037480,True,False
9,star,3,0.000000,0.019493,True,False
10,fully_connected,3,0.000000,0.240857,True,False
11,random,3,0.000000,0.005386,True,False
12,disconnected,3,0.000000,-0.000000,True,False
13,chain,3,0.000000,0.020846,True,False
14,ring,3,0.000000,0.060827,True,False
15,star,3,0.000000,0.035331,True,False
16,fully_connected,3,0.000000,0.272475,True,False
17,random,3,0.000000,0.076253,True,False
18,disconnected,3,0.000000,-0.000000,True,False
19,chain,3,0.000000,0.087440,True,False
20,ring,3,0.000000,0.162435,True,False
21,star,3,0.000000,0.094213,True,False
22,fully_connected,3,0.000000,0.379157,True,False
23,random,3,0.000000,0.056699,True,False
24,disconnected,3,0.000000,-0.000000,True,False
25,chain,3,0.000000,0.045036,True,False
26,ring,3,0.000000,0.070551,True,False
27,star,3,0.000000,0.040669,True,False
28,fully_connected,3,0.000000,0.265996,True,False
29,random,3,0.000000,0.173345,True,False
30,disconnected,3,0.000000,-0.000000,True,False
31,chain,3,0.000000,0.037879,True,False
32,ring,3,0.000000,0.064668,True,False
33,star,3,0.000000,0.021465,True,False
34,fully_connected,3,0.000000,0.247273,True,False
35,random,3,0.000000,0.047666,True,False
36,disconnected,3,0.000000,-0.000000,True,False
37,chain,3,0.000000,0.024000,True,False
38,ring,3,0.000000,0.052942,True,False
39,star,3,0.000000,0.011245,True,False
40,fully_connected,3,0.000000,0.124935,True,False
41,random,3,0.000000,0.020808,True,False
42,disconnected,3,0.000000,-0.000000,True,False
43,chain,3,0.000000,0.034061,True,False
44,ring,3,0.000000,0.088139,True,False
45,star,3,0.000000,0.029463,True,False
46,fully_connected,3,0.000000,0.188175,True,False
47,random,3,0.000000,0.082013,True,False
48,disconnected,3,0.000000,-0.000000,True,False
49,chain,3,0.000000,0.051335,True,False
50,ring,3,0.000000,0.101199,True,False
51,star,3,0.000000,0.034993,True,False
52,fully_connected,3,0.000000,0.373730,True,False
53,random,3,0.000000,0.360629,True,False
54,disconnected,3,0.000000,-0.000000,True,False
55,chain,3,0.000000,0.067052,True,False
56,ring,3,0.000000,0.158921,True,False
57,star,3,0.000000,0.058908,True,False
58,fully_connected,3,0.000000,0.345714,True,False
59,random,3,0.000000,0.135372,True,False
60,disconnected,3,0.000000,-0.000000,True,False
61,chain,3,0.000000,0.063103,True,False
62,ring,3,0.000000,0.141717,True,False
63,star,3,0.000000,0.058205,True,False
64,fully_connected,3,0.000000,0.410674,True,False
65,random,3,0.000000,0.215217,True,False
66,disconnected,3,0.000000,-0.000000,True,False
67,chain,3,0.000000,0.011713,True,False
68,ring,3,0.000000,0.029652,True,False
69,star,3,0.000000,0.010519,True,False
70,fully_connected,3,0.000000,0.081024,True,False
